;;ALL;;LCA;;OLA;;Rank;;Knora-E;;Knora-U;;Meta;;SB;
;;Bag;X;Bag;X;Bag;X;Bag;X;Bag;X;Bag;X;Bag;X;Bag;X
distdiver4;P2;58.0 (0.0);64.4 (0.0);72.8 (0.0);76.8 (0.0);87.2 (0.0);85.2 (0.0);91.2 (0.0);90.0 (0.0);91.2 (0.0);90.0 (0.0);87.6 (0.0);87.2 (0.0);87.2 (0.0);85.6 (0.0);50.0 (0.0);44.0 (0.0)
distdiver4cruza2;P2;58.0 (0.0);60.8 (0.0);72.8 (0.0);76.8 (0.0);87.2 (0.0);92.0 (0.0);91.2 (0.0);91.2 (0.0);91.2 (0.0);91.2 (0.0);87.6 (0.0);91.2 (0.0);87.2 (0.0);86.4 (0.0);50.0 (0.0);50.0 (0.0)
distdivernsga34;P2;58.0 (0.0);66.0 (0.0);72.8 (0.0);76.8 (0.0);87.2 (0.0);88.8 (0.0);91.2 (0.0);91.6 (0.0);91.2 (0.0);91.6 (0.0);87.6 (0.0);88.0 (0.0);87.2 (0.0);87.2 (0.0);50.0 (0.0);50.0 (0.0)
distdiverlinear4;P2;58.0 (0.0);66.4 (0.0);72.8 (0.0);72.8 (0.0);87.2 (0.0);88.0 (0.0);91.2 (0.0);90.0 (0.0);91.2 (0.0);90.4 (0.0);87.6 (0.0);88.4 (0.0);87.2 (0.0);87.2 (0.0);50.0 (0.0);50.0 (0.0)
distdiverlinearnsga34;P2;58.0 (0.0);60.8 (0.0);72.8 (0.0);76.8 (0.0);87.2 (0.0);92.0 (0.0);91.2 (0.0);91.2 (0.0);91.2 (0.0);91.2 (0.0);87.6 (0.0);91.2 (0.0);87.2 (0.0);86.4 (0.0);50.0 (0.0);50.0 (0.0)

;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
distdiver;P2;44.6 (0.0);61.2 (0.0);78.4 (0.0);78.0 (0.0);89.8 (0.0);91.4 (0.0);91.2 (0.0);93.4 (0.0);91.0 (0.0);92.2 (0.0);88.8 (0.0);88.8 (0.0);86.0 (0.0);88.4 (0.0);52.4 (0.0);59.6 (0.0)
distidivernsga3;P2;44.6 (0.0);61.2 (0.0);78.4 (0.0);78.0 (0.0);89.8 (0.0);91.4 (0.0);91.2 (0.0);93.4 (0.0);91.0 (0.0);92.2 (0.0);88.8 (0.0);88.8 (0.0);86.0 (0.0);88.4 (0.0);52.4 (0.0);59.6 (0.0)
distdiverlinear;P2;44.6 (0.0);61.2 (0.0);78.4 (0.0);78.0 (0.0);89.8 (0.0);91.4 (0.0);91.2 (0.0);93.4 (0.0);91.0 (0.0);92.2 (0.0);88.8 (0.0);88.8 (0.0);86.0 (0.0);88.4 (0.0);52.4 (0.0);59.6 (0.0)
;;;;;;;;;;;;;;;;;


distdiver4 p2possui 1000 instâncias;;;;;;;;;;;;;;;;;
distdiver p2 possui 2000 instâncias;;;;;;;;;;;;;;;;;
